ZM_EXPORT;-1;luismrtnezz;name=luismrtnezz;map=zm_castle;round=1;score=820;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=alive;end_reason=mapvote;final_weapon=none;time_survived_seconds=65;time_survived_text=1:05
ZM_EXPORT;-1;montgomerylol;name=montgomerylol;map=zm_zod;round=16;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;montgomerylol;name=montgomerylol;map=zm_zod;round=18;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;Administrator;name=Administrator;map=zm_zod;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;Egirl_ProMax;name=Egirl_ProMax;map=zm_zod;round=10;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;javigt97;name=javigt97;map=zm_zod;round=3;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;samue;name=samue;map=zm_zod;round=13;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;CamelFumaCapuch;name=CamelFumaCapuch;map=zm_zod;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;3AZRA2EEL;name=3AZRA2EEL;map=zm_zod;round=5;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;3AZRA2EEL;name=3AZRA2EEL;map=zm_factory;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;CamelFumaCapuch;name=CamelFumaCapuch;map=zm_factory;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;Crastion29;name=Crastion29;map=zm_theater;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
ZM_EXPORT;-1;BuOTB;name=BuOTB;map=zm_zod;round=1;score=500;downs=0;revives_given=0;revives_received=0;pap=0;repack=0;perks_bought_cmd=0;perks_bought_machine=0;perks_bought_machine_list=none;perks_final_count=0;perks_final=none;final_state=dead;end_reason=death;final_weapon=none;time_survived_seconds=0;time_survived_text=0:00
